Month,Average_Score,Average_Comments
1,28659.333333333332,726.6666666666666
2,9460.2,541.6
3,19317.9,813.9
4,13308.785714285714,590.5
5,22285.666666666668,1042.3333333333333
6,30180.333333333332,1267.7777777777778
7,8337.57142857143,629.5714285714286
8,12862.42857142857,504.14285714285717
9,15646.666666666666,1047.5555555555557
10,19216.285714285714,546.7142857142857
11,12252.4,841.3
12,27136.714285714286,1074.2857142857142
